seconds 	point x 	point y 	point z 	position x	position y	position z	flag    	
5.019   	1.777   	8.751   	-6.744  	0.000   	1.820   	-0.000  	-       	
5.037   	1.851   	8.751   	-6.724  	0.000   	1.820   	-0.000  	-       	
5.053   	1.947   	8.751   	-6.743  	0.000   	1.820   	-0.000  	-       	
5.070   	2.058   	8.751   	-6.803  	0.000   	1.820   	-0.000  	-       	
5.086   	2.191   	8.751   	-6.927  	0.000   	1.820   	-0.000  	-       	
5.103   	2.380   	8.751   	-6.986  	0.000   	1.820   	-0.000  	-       	
5.120   	2.435   	8.751   	-7.041  	0.000   	1.820   	-0.000  	-       	
5.137   	2.489   	8.621   	-6.948  	0.000   	1.820   	-0.000  	-       	
5.153   	2.581   	8.583   	-6.895  	0.000   	1.820   	-0.000  	-       	
5.170   	2.671   	8.545   	-6.842  	0.000   	1.820   	-0.000  	-       	
5.187   	2.804   	8.618   	-6.924  	0.000   	1.820   	-0.000  	-       	
5.203   	2.901   	8.569   	-6.852  	0.000   	1.820   	-0.000  	-       	
5.220   	3.022   	8.508   	-6.778  	0.000   	1.820   	-0.000  	-       	
5.237   	3.098   	8.470   	-6.748  	0.000   	1.820   	-0.000  	-       	
5.253   	3.157   	8.440   	-6.709  	0.000   	1.820   	-0.000  	-       	
5.270   	3.199   	8.419   	-6.663  	0.000   	1.820   	-0.000  	-       	
5.286   	3.241   	8.398   	-6.642  	0.000   	1.820   	-0.000  	-       	
5.303   	3.283   	8.377   	-6.596  	0.000   	1.820   	-0.000  	-       	
5.320   	3.356   	8.340   	-6.511  	0.000   	1.820   	-0.000  	-       	
5.337   	3.461   	8.287   	-6.415  	0.000   	1.820   	-0.000  	-       	
5.353   	2.653   	6.335   	-4.438  	0.000   	1.820   	-0.000  	-       	
5.370   	3.899   	8.066   	-6.188  	0.000   	1.820   	-0.000  	-       	
5.387   	4.016   	8.008   	-6.114  	0.000   	1.820   	-0.000  	-       	
5.403   	4.141   	7.945   	-6.052  	0.000   	1.820   	-0.000  	-       	
5.420   	4.268   	7.881   	-6.013  	0.000   	1.820   	-0.000  	-       	
5.437   	4.357   	7.836   	-5.997  	0.000   	1.820   	-0.000  	-       	
5.453   	4.405   	7.812   	-5.984  	0.000   	1.820   	-0.000  	-       	
5.470   	4.515   	7.756   	-5.936  	0.000   	1.820   	-0.000  	-       	
5.487   	4.599   	7.714   	-5.834  	0.000   	1.820   	-0.000  	-       	
5.503   	4.737   	7.644   	-5.763  	0.000   	1.820   	-0.000  	-       	
5.520   	4.875   	7.575   	-5.690  	0.000   	1.820   	-0.000  	-       	
5.537   	4.976   	7.524   	-5.609  	0.000   	1.820   	-0.000  	-       	
5.553   	4.990   	7.394   	-5.432  	0.000   	1.820   	-0.000  	-       	
5.570   	5.060   	7.362   	-5.406  	0.000   	1.820   	-0.000  	-       	
5.586   	5.101   	7.296   	-5.314  	0.000   	1.820   	-0.000  	-       	
5.603   	5.101   	7.173   	-5.182  	0.000   	1.820   	-0.000  	-       	
